epoch,bee_id,task_id,accuracies
0,1,1,0.1047
0,1,2,0.08393515673017825
0,2,1,0.1068
0,2,2,0.07936385986478181
1,1,1,0.0959
1,1,2,0.19606637984019668
1,2,1,0.0884
1,2,2,0.21289182544560542
2,1,1,0.0959
2,1,2,0.19606637984019668
2,2,1,0.0884
2,2,2,0.21289182544560542
3,1,1,0.0959
3,1,2,0.19606637984019668
3,2,1,0.0884
3,2,2,0.21289182544560542
4,1,1,0.0959
4,1,2,0.19606637984019668
4,2,1,0.0884
4,2,2,0.21289182544560542
5,1,1,0.0959
5,1,2,0.19606637984019668
5,2,1,0.0884
5,2,2,0.21289182544560542
6,1,1,0.0959
6,1,2,0.19606637984019668
6,2,1,0.0968
6,2,2,0.19871696373693915
7,1,1,0.0959
7,1,2,0.19606637984019668
7,2,1,0.0968
7,2,2,0.19871696373693915
8,1,1,0.0959
8,1,2,0.19606637984019668
8,2,1,0.0968
8,2,2,0.19871696373693915
9,1,1,0.0959
9,1,2,0.19606637984019668
9,2,1,0.0968
9,2,2,0.19871696373693915
10,1,1,0.0959
10,1,2,0.19606637984019668
10,2,1,0.0968
10,2,2,0.19871696373693915
11,1,1,0.0959
11,1,2,0.19606637984019668
11,2,1,0.0968
11,2,2,0.19871696373693915
12,1,1,0.0959
12,1,2,0.19606637984019668
12,2,1,0.0968
12,2,2,0.19871696373693915
13,1,1,0.0959
13,1,2,0.19606637984019668
13,2,1,0.0968
13,2,2,0.19871696373693915
14,1,1,0.0959
14,1,2,0.19606637984019668
14,2,1,0.0968
14,2,2,0.19871696373693915
15,1,1,0.0959
15,1,2,0.19606637984019668
15,2,1,0.0968
15,2,2,0.19871696373693915
16,1,1,0.0959
16,1,2,0.19606637984019668
16,2,1,0.0968
16,2,2,0.19871696373693915
17,1,1,0.0959
17,1,2,0.19606637984019668
17,2,1,0.0968
17,2,2,0.19871696373693915
18,1,1,0.0959
18,1,2,0.19606637984019668
18,2,1,0.0968
18,2,2,0.19871696373693915
19,1,1,0.0959
19,1,2,0.19606637984019668
19,2,1,0.0968
19,2,2,0.19871696373693915
20,1,1,0.0959
20,1,2,0.19606637984019668
20,2,1,0.0968
20,2,2,0.19871696373693915
21,1,1,0.0959
21,1,2,0.19606637984019668
21,2,1,0.0968
21,2,2,0.19871696373693915
22,1,1,0.0959
22,1,2,0.19606637984019668
22,2,1,0.0968
22,2,2,0.19871696373693915
23,1,1,0.0959
23,1,2,0.19606637984019668
23,2,1,0.0968
23,2,2,0.19871696373693915
24,1,1,0.0959
24,1,2,0.19606637984019668
24,2,1,0.0968
24,2,2,0.19871696373693915
25,1,1,0.0959
25,1,2,0.19606637984019668
25,2,1,0.0968
25,2,2,0.19871696373693915
26,1,1,0.0959
26,1,2,0.19606637984019668
26,2,1,0.0968
26,2,2,0.19871696373693915
27,1,1,0.0959
27,1,2,0.19606637984019668
27,2,1,0.0968
27,2,2,0.19871696373693915
28,1,1,0.0959
28,1,2,0.19606637984019668
28,2,1,0.0968
28,2,2,0.19871696373693915
29,1,1,0.0959
