epoch,bee_id,task_id,accuracies
0,1,1,0.0901
0,1,2,0.1273816840811309
0,2,1,0.101
0,2,2,0.19572065150583898
1,1,1,0.1318
1,1,2,0.0905039950829748
1,2,1,0.101
1,2,2,0.19572065150583898
2,1,1,0.1318
2,1,2,0.0905039950829748
2,2,1,0.101
2,2,2,0.19572065150583898
3,1,1,0.1318
3,1,2,0.0905039950829748
3,2,1,0.101
3,2,2,0.19572065150583898
4,1,1,0.1318
4,1,2,0.0905039950829748
4,2,1,0.101
4,2,2,0.19572065150583898
5,1,1,0.1318
5,1,2,0.0905039950829748
5,2,1,0.101
5,2,2,0.19572065150583898
6,1,1,0.1318
6,1,2,0.0905039950829748
6,2,1,0.101
6,2,2,0.19572065150583898
7,1,1,0.1491
7,1,2,0.08320528580208973
7,2,1,0.101
7,2,2,0.19572065150583898
8,1,1,0.1491
8,1,2,0.08320528580208973
8,2,1,0.101
8,2,2,0.19572065150583898
9,1,1,0.1491
9,1,2,0.08320528580208973
9,2,1,0.101
9,2,2,0.19572065150583898
10,1,1,0.163
10,1,2,0.08032421634910879
10,2,1,0.101
10,2,2,0.19572065150583898
11,1,1,0.163
11,1,2,0.08032421634910879
11,2,1,0.101
11,2,2,0.19572065150583898
12,1,1,0.1697
12,1,2,0.0819760295021512
12,2,1,0.101
12,2,2,0.19572065150583898
13,1,1,0.1775
13,1,2,0.08101567301782421
13,2,1,0.101
13,2,2,0.19572065150583898
14,1,1,0.1775
14,1,2,0.08101567301782421
14,2,1,0.0966
14,2,2,0.19579748002458514
15,1,1,0.1775
15,1,2,0.08101567301782421
15,2,1,0.0966
15,2,2,0.19579748002458514
16,1,1,0.1775
16,1,2,0.08101567301782421
16,2,1,0.0966
16,2,2,0.19579748002458514
17,1,1,0.1775
17,1,2,0.08101567301782421
17,2,1,0.0913
17,2,2,0.1960279655808236
18,1,1,0.1775
18,1,2,0.08101567301782421
18,2,1,0.0913
18,2,2,0.1960279655808236
19,1,1,0.1807
19,1,2,0.08193761524277812
19,2,1,0.09
19,2,2,0.19645052243392747
20,1,1,0.1876
20,1,2,0.08163030116779349
20,2,1,0.09
20,2,2,0.19645052243392747
21,1,1,0.1931
21,1,2,0.08435771358328212
21,2,1,0.09
21,2,2,0.19645052243392747
22,1,1,0.1931
22,1,2,0.08435771358328212
22,2,1,0.09
22,2,2,0.19645052243392747
23,1,1,0.1931
23,1,2,0.08435771358328212
23,2,1,0.09
23,2,2,0.19645052243392747
24,1,1,0.1931
24,1,2,0.08435771358328212
24,2,1,0.09
24,2,2,0.19645052243392747
25,1,1,0.1931
25,1,2,0.08435771358328212
25,2,1,0.09
25,2,2,0.19645052243392747
26,1,1,0.1931
26,1,2,0.08435771358328212
26,2,1,0.09
26,2,2,0.19645052243392747
27,1,1,0.1931
27,1,2,0.08435771358328212
27,2,1,0.09
27,2,2,0.19645052243392747
28,1,1,0.1931
28,1,2,0.08435771358328212
28,2,1,0.0894
28,2,2,0.1964121081745544
29,1,1,0.1949
29,1,2,0.08097725875845113
29,2,1,0.0894
29,2,2,0.1964121081745544
30,1,1,0.1949
30,1,2,0.08097725875845113
30,2,1,0.0894
30,2,2,0.1964121081745544
31,1,1,0.1949
31,1,2,0.08097725875845113
31,2,1,0.0894
31,2,2,0.1964121081745544
32,1,1,0.1949
32,1,2,0.08097725875845113
32,2,1,0.0892
32,2,2,0.19629686539643515
33,1,1,0.1949
33,1,2,0.08097725875845113
33,2,1,0.0892
33,2,2,0.19629686539643515
34,1,1,0.1949
34,1,2,0.08097725875845113
34,2,1,0.0892
34,2,2,0.19629686539643515
35,1,1,0.1949
35,1,2,0.08097725875845113
35,2,1,0.0892
35,2,2,0.19629686539643515
36,1,1,0.1949
36,1,2,0.08097725875845113
36,2,1,0.0892
36,2,2,0.19629686539643515
37,1,1,0.199
37,1,2,0.08212968653964352
37,2,1,0.0892
37,2,2,0.19629686539643515
38,1,1,0.199
38,1,2,0.08212968653964352
38,2,1,0.0892
38,2,2,0.19629686539643515
39,1,1,0.199
39,1,2,0.08212968653964352
39,2,1,0.0898
39,2,2,0.19671942224953903
40,1,1,0.2011
40,1,2,0.08266748617086662
40,2,1,0.0898
40,2,2,0.19671942224953903
41,1,1,0.2011
41,1,2,0.08266748617086662
41,2,1,0.0898
41,2,2,0.19671942224953903
42,1,1,0.2011
42,1,2,0.08266748617086662
42,2,1,0.0898
42,2,2,0.19671942224953903
43,1,1,0.2011
43,1,2,0.08266748617086662
43,2,1,0.0898
43,2,2,0.19671942224953903
44,1,1,0.2099
44,1,2,0.08113091579594345
44,2,1,0.0898
44,2,2,0.19671942224953903
45,1,1,0.2099
45,1,2,0.08113091579594345
45,2,1,0.0898
45,2,2,0.19833282114320835
46,1,1,0.2099
46,1,2,0.08113091579594345
46,2,1,0.0898
46,2,2,0.19833282114320835
47,1,1,0.2099
47,1,2,0.08113091579594345
47,2,1,0.0898
47,2,2,0.19833282114320835
48,1,1,0.2134
48,1,2,0.08055470190534726
48,2,1,0.0898
48,2,2,0.19833282114320835
49,1,1,0.2134
49,1,2,0.08055470190534726
49,2,1,0.0898
49,2,2,0.19833282114320835
50,1,1,0.2134
50,1,2,0.08055470190534726
50,2,1,0.0898
50,2,2,0.19833282114320835
51,1,1,0.2134
51,1,2,0.08055470190534726
51,2,1,0.0898
51,2,2,0.19833282114320835
52,1,1,0.2174
52,1,2,0.08051628764597418
52,2,1,0.0898
52,2,2,0.19833282114320835
53,1,1,0.2174
53,1,2,0.08051628764597418
53,2,1,0.0898
53,2,2,0.19833282114320835
54,1,1,0.2174
54,1,2,0.08051628764597418
54,2,1,0.0898
54,2,2,0.19833282114320835
55,1,1,0.2174
55,1,2,0.08051628764597418
55,2,1,0.0898
55,2,2,0.19833282114320835
56,1,1,0.2236
56,1,2,0.07828826060233558
56,2,1,0.0898
56,2,2,0.19833282114320835
57,1,1,0.2236
57,1,2,0.07828826060233558
57,2,1,0.0898
57,2,2,0.19833282114320835
58,1,1,0.2247
58,1,2,0.0804778733866011
58,2,1,0.0898
58,2,2,0.19833282114320835
59,1,1,0.2247
59,1,2,0.0804778733866011
59,2,1,0.0898
59,2,2,0.19833282114320835
60,1,1,0.2247
60,1,2,0.0804778733866011
60,2,1,0.0898
60,2,2,0.19833282114320835
61,1,1,0.2247
61,1,2,0.0804778733866011
61,2,1,0.0898
61,2,2,0.19833282114320835
62,1,1,0.2247
62,1,2,0.0804778733866011
62,2,1,0.0898
62,2,2,0.19833282114320835
63,1,1,0.2297
63,1,2,0.08017055931161647
63,2,1,0.0898
63,2,2,0.19833282114320835
64,1,1,0.2297
64,1,2,0.08017055931161647
64,2,1,0.0905
64,2,2,0.19802550706822372
65,1,1,0.2297
65,1,2,0.08017055931161647
65,2,1,0.0905
65,2,2,0.19802550706822372
66,1,1,0.2297
66,1,2,0.08017055931161647
66,2,1,0.0905
66,2,2,0.19802550706822372
67,1,1,0.2297
67,1,2,0.08017055931161647
67,2,1,0.0904
67,2,2,0.19664259373079288
68,1,1,0.2313
68,1,2,0.08105408727719729
68,2,1,0.0913
68,2,2,0.19656576521204672
69,1,1,0.2313
69,1,2,0.08105408727719729
69,2,1,0.0913
69,2,2,0.19656576521204672
70,1,1,0.2349
70,1,2,0.08285955746773202
70,2,1,0.0918
70,2,2,0.19890903503380455
71,1,1,0.2349
71,1,2,0.08285955746773202
71,2,1,0.0918
71,2,2,0.19890903503380455
72,1,1,0.2349
72,1,2,0.08285955746773202
72,2,1,0.0909
72,2,2,0.1987937922556853
73,1,1,0.2349
73,1,2,0.08285955746773202
73,2,1,0.0909
73,2,2,0.1987937922556853
74,1,1,0.2349
74,1,2,0.08285955746773202
74,2,1,0.0909
74,2,2,0.1987937922556853
75,1,1,0.2349
75,1,2,0.08285955746773202
75,2,1,0.0909
75,2,2,0.1987937922556853
76,1,1,0.2349
76,1,2,0.08285955746773202
76,2,1,0.0909
76,2,2,0.1987937922556853
