time,bee1_id,bee2_id,task_id,task_1,task_2,task_3,task_4,task_5
0.0,1,0,0,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
0.0,2,0,0,0.085,0.0969,0.07471573448063921,0.1179,0.0
0.0,3,0,0,0.1176,0.1027,0.10636908420405655,0.1048,0.028309189428287074
0.0,4,0,0,0.1131,0.1009,0.1954517516902274,0.1,0.11699657193409267
0.0,5,0,0,0.1073,0.0829,0.08762292562999385,0.0911,0.8562423974344797
4.7144401120784405,2,3,4,0.085,0.0969,0.07471573448063921,0.1179,0.0
5.366016375058952,4,5,5,0.1131,0.1009,0.1954517516902274,0.1,0.11699657193409267
6.780184640470481,1,3,1,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
7.094754638775328,4,5,5,0.1131,0.1009,0.1954517516902274,0.1,0.11699657193409267
7.241814187665108,5,1,2,0.1073,0.0829,0.08762292562999385,0.0911,0.8562423974344797
7.7365646407706885,1,4,3,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
8.281219514639282,1,5,1,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
9.078415517286995,4,5,5,0.1131,0.1009,0.1954517516902274,0.1,0.11699657193409267
9.887863102172934,3,5,5,0.1176,0.1027,0.10636908420405655,0.1048,0.028309189428287074
10.69110745295765,3,5,5,0.1176,0.1027,0.10636908420405655,0.1048,0.028309189428287074
12.08445976717876,4,5,5,0.1131,0.1009,0.1954517516902274,0.1,0.11699657193409267
13.506985754003711,1,4,3,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
16.106660700166596,3,4,3,0.1176,0.1027,0.10636908420405655,0.1048,0.028309189428287074
17.047012890497083,1,4,2,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
17.706667284398733,1,4,3,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
18.545359516731278,4,5,5,0.1131,0.1009,0.1954517516902274,0.1,0.11699657193409267
19.571163960873953,2,4,4,0.085,0.0969,0.07471573448063921,0.1179,0.0
19.806737732193657,2,5,2,0.085,0.0969,0.07471573448063921,0.1179,0.0
19.81027772771099,1,4,3,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
21.969195828001165,3,3,2,0.1179,0.1827,0.08116933005531653,0.1054,0.006524383501050536
22.39927497620062,4,5,2,0.1131,0.1009,0.1954517516902274,0.1,0.11699657193409267
22.49880743489352,3,2,2,0.1179,0.1827,0.08116933005531653,0.1054,0.006524383501050536
23.210335772783065,3,1,1,0.1179,0.1827,0.08116933005531653,0.1054,0.006524383501050536
23.916569686798532,5,1,1,0.1073,0.0829,0.08762292562999385,0.0911,0.8562423974344797
24.117314637913037,3,5,2,0.1179,0.1827,0.08116933005531653,0.1054,0.006524383501050536
24.482758736213757,3,3,4,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
26.677065669764644,3,5,5,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
27.894081670494234,3,5,5,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
28.46219537966628,3,2,2,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
28.854475923938182,3,5,5,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
29.977398988922445,3,5,5,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
30.18527039967914,5,2,1,0.1073,0.0829,0.08762292562999385,0.0911,0.8562423974344797
30.304507452703078,2,5,1,0.085,0.0969,0.07471573448063921,0.1179,0.0
31.055976146110318,3,5,5,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
32.55816808994882,1,3,4,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
32.72998789931428,3,5,5,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
36.55128470380103,2,4,1,0.085,0.0969,0.07471573448063921,0.1179,0.0
36.577096275415904,5,2,1,0.1073,0.0829,0.08762292562999385,0.0911,0.8562423974344797
38.051068791428754,5,3,2,0.1073,0.0829,0.08762292562999385,0.0911,0.8562423974344797
38.87278623826792,5,5,5,0.098,0.1,0.06699446834665028,0.1,0.5225035939400642
40.28644510552459,2,3,4,0.085,0.0969,0.07471573448063921,0.1179,0.0
41.11708397847557,4,1,4,0.1131,0.1009,0.1954517516902274,0.1,0.11699657193409267
42.013361867413415,3,4,3,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
42.10500704262729,3,2,2,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
43.09947919434814,2,4,3,0.085,0.0969,0.07471573448063921,0.1179,0.0
43.67059976344554,2,3,4,0.085,0.0969,0.07471573448063921,0.1179,0.0
44.30441121120945,3,5,2,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
49.13455542994137,3,5,5,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
49.76007643759775,3,5,5,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
50.48085435321323,2,3,4,0.085,0.0969,0.07471573448063921,0.1179,0.0
50.68511602230791,3,1,2,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
51.625940177773586,5,5,5,0.098,0.1,0.06699446834665028,0.1,0.6502266946809687
52.44790818483292,1,4,1,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
52.518889632417725,1,2,1,0.1261,0.0868,0.08866011063306699,0.0699,0.0009952449408382174
53.28299356587328,3,2,2,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
53.402233455075404,2,4,2,0.085,0.0969,0.07471573448063921,0.1179,0.0
53.50458460473362,2,3,4,0.085,0.0969,0.07471573448063921,0.1179,0.0
53.93638402810583,4,3,2,0.1131,0.1009,0.1954517516902274,0.1,0.11699657193409267
53.980080809024585,3,5,5,0.0842,0.142,0.07198832206515059,0.4492,0.19915957093884773
54.562522129836836,5,3,4,0.098,0.1,0.06699446834665028,0.1,0.6502266946809687
