epoch,time,bee1_id,bee2_id,task_id,production_count,suppression_count
0,1,4,4,5,1,0
1,2,5,5,3,1,0
2,3,2,2,1,1,0
2,3,3,3,3,1,0
3,4,1,1,4,1,0
5,6,4,4,4,1,0
6,7,1,1,5,1,0
6,7,3,2,4,0,1
6,7,3,3,2,1,0
7,8,1,1,5,1,0
7,8,3,3,3,1,0
8,9,3,3,5,2,0
9,10,1,1,5,1,0
11,12,2,2,1,1,0
13,14,3,3,5,1,0
14,15,2,2,4,1,0
15,16,1,3,3,0,1
15,16,3,3,3,1,0
15,16,4,4,2,1,0
15,16,5,5,4,1,0
19,20,2,2,1,1,0
19,20,3,3,5,1,0
19,20,4,4,5,1,0
19,20,5,4,5,0,1
20,21,1,2,3,0,1
21,22,1,4,5,0,1
21,22,5,5,4,1,0
22,23,1,4,5,0,1
25,26,2,5,4,0,1
25,26,3,4,2,0,1
25,26,4,4,4,1,0
26,27,1,1,2,1,0
26,27,1,1,4,1,0
26,27,4,4,4,1,0
27,28,1,1,1,1,0
29,30,5,4,4,0,1
33,34,1,4,3,0,1
33,34,4,3,3,0,1
34,35,3,3,5,1,0
34,35,4,4,4,1,0
36,37,4,4,5,1,0
37,38,4,4,1,1,0
38,39,2,2,5,1,0
38,39,2,5,4,0,1
38,39,3,3,5,1,0
38,39,5,4,4,0,1
41,42,2,2,3,1,0
41,42,4,1,5,0,1
42,43,2,2,2,1,0
42,43,3,4,4,0,1
43,44,4,4,4,1,0
45,46,2,2,2,1,0
45,46,3,3,3,1,0
47,48,2,5,4,0,1
47,48,3,3,5,1,0
47,48,4,5,3,0,1
49,50,4,4,2,1,0
50,51,1,1,2,1,0
53,54,2,2,5,1,0
56,57,1,3,5,0,1
56,57,3,4,4,0,1
57,58,3,3,3,1,0
61,62,3,4,4,0,1
61,62,5,5,3,1,0
62,63,2,2,2,1,0
63,64,5,1,4,0,1
68,69,2,5,4,0,1
70,71,3,3,5,1,0
71,72,2,4,2,0,1
72,73,1,2,2,0,1
72,73,3,1,1,0,1
72,73,5,5,3,1,0
73,74,1,1,1,1,0
74,75,1,4,3,0,1
74,75,4,4,4,1,0
74,75,5,5,3,1,0
75,76,1,4,4,0,1
75,76,2,2,3,1,0
78,79,4,4,4,1,0
78,79,5,4,4,0,1
81,82,1,1,1,1,0
81,82,5,1,1,0,1
82,83,5,1,1,0,1
83,84,3,3,5,1,0
83,84,4,4,1,1,0
84,85,1,3,5,0,1
84,85,3,2,1,0,1
85,86,4,4,1,1,0
86,87,1,3,5,0,1
87,88,3,3,3,1,0
89,90,4,4,2,1,0
89,90,5,3,1,0,1
91,92,5,3,4,0,1
92,93,4,4,2,1,0
93,94,1,4,4,0,1
93,94,5,5,3,1,0
95,96,5,5,3,1,0
96,97,1,4,3,0,1
98,99,3,3,5,1,0
