batch_size,batches_per_step,center_generation_bounds,dataset_names,dead_time,features_dimension,interaction_rate,lambda_sensitivity,learning_rate,max_input_dim,max_output_dim,n_bees,n_classes,n_epochs,n_per_class_test,n_per_class_train,n_steps_per_epoch,n_tasks,param_id,production_rate,punish_rate,punishment,random_seed,replicate_id,run_time,run_timestamp,save_nn_epochs,seed,use_gauss,use_per_class_variance,variance_bounds,n_tasks_1,n_bees_total,n_bees_final,t_end,task_spec_mean_final,agent_spec_mean_final,final_min_task_best,final_mean_task_best,max_thr_matching_final,onset_thr_0p8,task_spec_mean_onset_thr_0p8,agent_spec_mean_onset_thr_0p8,onset_thr_0p9,task_spec_mean_onset_thr_0p9,agent_spec_mean_onset_thr_0p9,root,param_folder,param_dir,event_log_path,config_path
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.01,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,100,1,0.1,time_out,242649821,1,8154.32,2025-12-14T16:07:10.671,0,242649821,true,true,"[0.01,0.05]",10,10,10,500.0020684737896,0.16485660909328007,0.18137876603023356,0.10666666666666667,0.3336,0.092,,,,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_100_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_100_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_100_rep_1/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_100_rep_1/config.json
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.01,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,100,1,0.1,time_out,242649822,2,8721.39,2025-12-14T16:07:45.335,0,242649822,true,true,"[0.01,0.05]",10,10,10,500.00069603784107,0.17897242826014273,0.21547038515837302,0.11066666666666666,0.3829333333333333,0.11066666666666666,,,,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_100_rep_2,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_100_rep_2,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_100_rep_2/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_100_rep_2/config.json
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.01,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,100,1,0.1,time_out,242649823,3,8485.88,2025-12-14T16:07:35.192,0,242649823,true,true,"[0.01,0.05]",10,10,10,500.00069382942075,0.1323659316188865,0.1528009688667302,0.09733333333333333,0.3312,0.09733333333333333,,,,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_100_rep_3,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_100_rep_3,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_100_rep_3/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_100_rep_3/config.json
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.05,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,101,1,0.1,time_out,242650821,1,4587.24,2025-12-14T16:07:35.149,0,242650821,true,true,"[0.01,0.05]",10,10,10,500.000329046538,0.5552052933405676,0.5514013221794406,0.6613333333333333,0.7453333333333334,0.6613333333333333,,,,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_101_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_101_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_101_rep_1/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_101_rep_1/config.json
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.05,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,101,1,0.1,time_out,242650822,2,10410.4,2025-12-14T16:08:35.104,0,242650822,true,true,"[0.01,0.05]",10,10,10,500.0002164851143,0.6336578162184094,0.6298893682703841,0.7466666666666667,0.8045333333333333,0.7466666666666667,,,,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_101_rep_2,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_101_rep_2,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_101_rep_2/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_101_rep_2/config.json
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.05,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,101,1,0.1,time_out,242650823,3,5047.37,2025-12-14T16:08:11.835,0,242650823,true,true,"[0.01,0.05]",10,10,10,500.001880812484,0.5667231481850857,0.5619358475100438,0.5853333333333334,0.7548000000000001,0.5853333333333334,,,,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_101_rep_3,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_101_rep_3,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_101_rep_3/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_101_rep_3/config.json
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.1,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,102,1,0.1,time_out,242651821,1,3301.49,2025-12-14T16:08:12.663,0,242651821,true,true,"[0.01,0.05]",10,10,10,500.0014518947374,0.7603973102410295,0.7602327586190748,0.768,0.8865333333333334,0.768,278.30105292401123,0.7086950322884781,0.7043711174089677,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_102_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_102_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_102_rep_1/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_102_rep_1/config.json
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.1,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,102,1,0.1,time_out,242651822,2,4287.67,2025-12-14T16:08:35.734,0,242651822,true,true,"[0.01,0.05]",10,10,10,500.00045108015667,0.7694854652362014,0.7661469184233912,0.82,0.8876000000000002,0.82,320.1256968113936,0.708300854168915,0.7024405982714231,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_102_rep_2,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_102_rep_2,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_102_rep_2/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_102_rep_2/config.json
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.1,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,102,1,0.1,time_out,242651823,3,4197.02,2025-12-14T16:09:23.628,0,242651823,true,true,"[0.01,0.05]",10,10,10,500.00252180014576,0.7628101529232656,0.7613593587977942,0.728,0.8832000000000001,0.728,,,,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_102_rep_3,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_102_rep_3,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_102_rep_3/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_102_rep_3/config.json
32,1000,"[0,1]","[""task_1"",""task_2"",""task_3"",""task_4"",""task_5"",""task_6"",""task_7"",""task_8"",""task_9"",""task_10""]",0.5,10,500.0,100,1.0e-5,10,15,10,15,500,50,100,1,10,103,1,0.1,time_out,242652821,1,9006.05,2025-12-14T16:09:54.751,0,242652821,true,true,"[0.01,0.05]",10,10,10,500.0022404702238,0.6356338690002351,0.6764402563608497,0.12533333333333332,0.7586666666666667,0.07466666666666667,,,,,,,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep,param_103_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_103_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_103_rep_1/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/test_runs/10b10t15c500e_log_sweep/data/param_103_rep_1/config.json
