root,param_folder,param_dir,n_epochs,learning_rate,interaction_rate,dead_time,lambda_sensitivity,time,threshold,n_agents,n_tasks,any_geq,exactly_one_geq,unique_specialist,avg_agents_geq_per_task
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_1,10000,5.0e-6,0.1,1.0,100,5000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_1,10000,5.0e-6,0.1,1.0,100,5000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_1,10000,5.0e-6,0.1,1.0,100,10000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_1,10000,5.0e-6,0.1,1.0,100,10000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_2,10000,5.0e-6,0.1,1.0,100,5000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_2,10000,5.0e-6,0.1,1.0,100,5000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_2,10000,5.0e-6,0.1,1.0,100,10000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_2,10000,5.0e-6,0.1,1.0,100,10000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_3,10000,5.0e-6,0.1,1.0,100,5000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_3,10000,5.0e-6,0.1,1.0,100,5000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_3,10000,5.0e-6,0.1,1.0,100,10000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_3,10000,5.0e-6,0.1,1.0,100,10000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_4,10000,5.0e-6,0.1,1.0,100,5000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_4,10000,5.0e-6,0.1,1.0,100,5000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_4,10000,5.0e-6,0.1,1.0,100,10000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_4,10000,5.0e-6,0.1,1.0,100,10000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_5,10000,5.0e-6,0.1,1.0,100,5000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_5,10000,5.0e-6,0.1,1.0,100,5000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_5,10000,5.0e-6,0.1,1.0,100,10000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_10_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_10_rep_5,10000,5.0e-6,0.1,1.0,100,10000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_11_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_11_rep_1,10000,5.0e-6,0.1,10.0,100,5000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_11_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_11_rep_1,10000,5.0e-6,0.1,10.0,100,5000.0,0.9,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_11_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_11_rep_1,10000,5.0e-6,0.1,10.0,100,10000.0,0.8,25,0,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep,param_11_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/5b5t_sensitivity_sweep/data/param_11_rep_1,10000,5.0e-6,0.1,10.0,100,10000.0,0.9,25,0,0,0,0,0.0
