epoch,time,bee1_id,bee2_id,task_id,production_count,suppression_count
0,1,1,1,1,9,0
1,2,1,1,1,6,0
2,3,1,1,1,4,0
3,4,1,1,1,3,0
4,5,1,1,1,4,0
5,6,1,1,1,1,0
6,7,1,1,1,8,0
7,8,1,1,1,3,0
8,9,1,1,1,4,0
9,10,1,1,1,7,0
10,11,1,1,1,4,0
11,12,1,1,1,8,0
12,13,1,1,1,3,0
13,14,1,1,1,6,0
14,15,1,1,1,2,0
15,16,1,1,1,5,0
16,17,1,1,1,5,0
17,18,1,1,1,5,0
18,19,1,1,1,8,0
19,20,1,1,1,8,0
20,21,1,1,1,7,0
21,22,1,1,1,8,0
22,23,1,1,1,4,0
23,24,1,1,1,3,0
24,25,1,1,1,4,0
25,26,1,1,1,7,0
26,27,1,1,1,7,0
27,28,1,1,1,7,0
28,29,1,1,1,3,0
29,30,1,1,1,3,0
30,31,1,1,1,4,0
31,32,1,1,1,5,0
32,33,1,1,1,2,0
33,34,1,1,1,3,0
34,35,1,1,1,4,0
35,36,1,1,1,6,0
36,37,1,1,1,6,0
37,38,1,1,1,6,0
38,39,1,1,1,4,0
39,40,1,1,1,7,0
40,41,1,1,1,5,0
41,42,1,1,1,2,0
42,43,1,1,1,4,0
43,44,1,1,1,7,0
44,45,1,1,1,1,0
45,46,1,1,1,6,0
46,47,1,1,1,6,0
47,48,1,1,1,3,0
48,49,1,1,1,6,0
49,50,1,1,1,5,0
50,51,1,1,1,6,0
51,52,1,1,1,4,0
52,53,1,1,1,4,0
53,54,1,1,1,8,0
54,55,1,1,1,3,0
55,56,1,1,1,3,0
56,57,1,1,1,6,0
57,58,1,1,1,4,0
58,59,1,1,1,9,0
59,60,1,1,1,3,0
60,61,1,1,1,6,0
61,62,1,1,1,5,0
62,63,1,1,1,6,0
63,64,1,1,1,6,0
64,65,1,1,1,5,0
65,66,1,1,1,4,0
66,67,1,1,1,1,0
67,68,1,1,1,7,0
68,69,1,1,1,4,0
69,70,1,1,1,2,0
70,71,1,1,1,5,0
71,72,1,1,1,4,0
72,73,1,1,1,6,0
73,74,1,1,1,6,0
74,75,1,1,1,5,0
75,76,1,1,1,6,0
76,77,1,1,1,8,0
77,78,1,1,1,3,0
78,79,1,1,1,2,0
79,80,1,1,1,4,0
80,81,1,1,1,2,0
81,82,1,1,1,1,0
82,83,1,1,1,7,0
83,84,1,1,1,9,0
84,85,1,1,1,4,0
85,86,1,1,1,8,0
86,87,1,1,1,5,0
87,88,1,1,1,4,0
88,89,1,1,1,3,0
89,90,1,1,1,5,0
90,91,1,1,1,7,0
91,92,1,1,1,4,0
92,93,1,1,1,2,0
93,94,1,1,1,3,0
94,95,1,1,1,5,0
95,96,1,1,1,9,0
96,97,1,1,1,7,0
98,99,1,1,1,4,0
99,100,1,1,1,2,0
100,101,1,1,1,9,0
101,102,1,1,1,8,0
102,103,1,1,1,2,0
103,104,1,1,1,6,0
104,105,1,1,1,8,0
105,106,1,1,1,5,0
106,107,1,1,1,2,0
107,108,1,1,1,3,0
108,109,1,1,1,2,0
109,110,1,1,1,4,0
110,111,1,1,1,4,0
111,112,1,1,1,6,0
112,113,1,1,1,6,0
113,114,1,1,1,5,0
114,115,1,1,1,7,0
115,116,1,1,1,4,0
116,117,1,1,1,4,0
117,118,1,1,1,8,0
118,119,1,1,1,2,0
119,120,1,1,1,1,0
120,121,1,1,1,3,0
121,122,1,1,1,3,0
122,123,1,1,1,9,0
124,125,1,1,1,5,0
125,126,1,1,1,5,0
126,127,1,1,1,7,0
127,128,1,1,1,2,0
128,129,1,1,1,5,0
129,130,1,1,1,7,0
130,131,1,1,1,4,0
131,132,1,1,1,3,0
132,133,1,1,1,10,0
133,134,1,1,1,8,0
134,135,1,1,1,5,0
135,136,1,1,1,4,0
136,137,1,1,1,3,0
137,138,1,1,1,8,0
138,139,1,1,1,4,0
139,140,1,1,1,5,0
140,141,1,1,1,3,0
141,142,1,1,1,4,0
142,143,1,1,1,4,0
143,144,1,1,1,8,0
144,145,1,1,1,4,0
145,146,1,1,1,5,0
146,147,1,1,1,7,0
147,148,1,1,1,4,0
148,149,1,1,1,5,0
149,150,1,1,1,4,0
150,151,1,1,1,4,0
151,152,1,1,1,7,0
152,153,1,1,1,5,0
153,154,1,1,1,5,0
154,155,1,1,1,5,0
155,156,1,1,1,4,0
156,157,1,1,1,6,0
157,158,1,1,1,5,0
158,159,1,1,1,3,0
159,160,1,1,1,8,0
160,161,1,1,1,5,0
161,162,1,1,1,7,0
162,163,1,1,1,6,0
163,164,1,1,1,7,0
164,165,1,1,1,4,0
165,166,1,1,1,5,0
166,167,1,1,1,6,0
167,168,1,1,1,7,0
168,169,1,1,1,4,0
169,170,1,1,1,5,0
170,171,1,1,1,2,0
171,172,1,1,1,5,0
172,173,1,1,1,8,0
173,174,1,1,1,4,0
174,175,1,1,1,4,0
175,176,1,1,1,6,0
176,177,1,1,1,9,0
177,178,1,1,1,5,0
178,179,1,1,1,5,0
179,180,1,1,1,5,0
180,181,1,1,1,4,0
181,182,1,1,1,5,0
182,183,1,1,1,3,0
183,184,1,1,1,7,0
184,185,1,1,1,5,0
185,186,1,1,1,10,0
186,187,1,1,1,8,0
187,188,1,1,1,1,0
188,189,1,1,1,1,0
189,190,1,1,1,4,0
190,191,1,1,1,5,0
191,192,1,1,1,6,0
192,193,1,1,1,5,0
193,194,1,1,1,5,0
194,195,1,1,1,3,0
195,196,1,1,1,1,0
196,197,1,1,1,4,0
197,198,1,1,1,2,0
198,199,1,1,1,8,0
199,200,1,1,1,3,0
200,201,1,1,1,6,0
201,202,1,1,1,2,0
202,203,1,1,1,4,0
203,204,1,1,1,4,0
204,205,1,1,1,4,0
205,206,1,1,1,3,0
206,207,1,1,1,6,0
207,208,1,1,1,7,0
208,209,1,1,1,1,0
209,210,1,1,1,7,0
210,211,1,1,1,5,0
211,212,1,1,1,5,0
212,213,1,1,1,4,0
213,214,1,1,1,8,0
215,216,1,1,1,3,0
216,217,1,1,1,3,0
217,218,1,1,1,4,0
218,219,1,1,1,7,0
219,220,1,1,1,5,0
220,221,1,1,1,6,0
221,222,1,1,1,5,0
222,223,1,1,1,6,0
223,224,1,1,1,7,0
224,225,1,1,1,1,0
